Permission,CSAgents
- Access : Find Affiliate Performance Turnover Winlose,TRUE
- Access : Create Export Csv Affiliate Performance,
- Access : Get Admin Activity Member,TRUE
- Access : Export Csv Admin Activity Member,FALSE
- Access : Report Daily Login Members,TRUE
- Access : Find Performance Affiliate Member,TRUE
- Access : Find Referral Performance Transaction,TRUE
- Access : Find Performance Received Promotion,TRUE
- Access : Report Daily Login Members Detail,TRUE
- Access : Find Member Level History,TRUE
- Access : Get Member Level History,TRUE
- Access : Export Csv Member Level History,
- Access : Find Report Redeem Freespin Status,TRUE
- Access : Export Csv Redeem Freespin Status,
- Access : Find Member Register Date,TRUE
